efg,9997868,10657,126,225
ega,9878819,8709,106,241
egb,9809676,7871,250,456
egc,9999485,8780,204,420
egd,9970781,9556,110,227
ege,9939209,8501,153,229
egf,9777597,10322,12,32
egg,9900979,10296,147,245
faa,9372990,9193,99,263
fab,9323654,8647,16,36
fac,9769900,7954,240,419
fad,9987917,10447,55,103
fae,9969133,8401,124,238
faf,9860020,7032,139,241
fag,9551490,8596,46,181
fba,9808242,9553,17,49
fbb,9967285,7237,95,197
fbc,9937376,8319,220,306
fbd,9885259,6803,136,225
fbe,9988535,8574,59,112
fbf,9611453,9137,41,84
fbg,9806151,9424,59,127
fca,9964575,8586,207,396
fcb,9914045,9254,90,262
fcc,9975948,8475,77,231
fcd,9894276,8131,85,227
fce,9909081,11607,19,89
fcf,9981375,8591,100,171
fcg,9367787,10565,140,279
fda,9889767,9177,228,462
fdb,9966897,8927,150,240
fdc,9798529,8985,35,54
fdd,9789861,7921,144,306
fde,9856248,7564,92,168
fdf,9942985,8590,28,91
fdg,9998543,6590,54,122
fea,9998831,8412,91,298
feb,9984823,9776,63,177
fec,9816852,7549,188,315
fed,9728097,7079,250,426
fee,9859256,10441,94,197
fef,9801463,9490,317,633
feg,9981872,9716,72,242
ffa,9939507,9579,164,294
ffb,9755245,9868,383,684
ffc,9846355,8449,156,241
ffd,9989833,7981,112,291
ffe,9816583,9898,148,256
fff,9815389,6899,115,239
ffg,9713274,8947,28,58
fga,9952856,10158,7,20
fgb,9540055,9741,62,140
fgc,9905528,9255,211,320
fgd,9769400,9452,223,333
fge,9964025,8561,140,225
fgf,9491753,8146,8,23
fgg,9762621,10095,30,77
gaa,9614332,8658,177,316
gab,9608112,9136,231,378
gac,9991555,9083,8,28
gad,9765068,9205,15,34
gae,9644275,10462,26,66
gaf,9575061,9644,28,106
gag,9940971,7823,127,207
gba,9991143,8723,275,375
gbb,9672405,7814,298,567
gbc,9958656,8353,13,37
gbd,9827404,8805,12,44
gbe,9983579,7662,181,309
gbf,9927424,8311,88,160
gbg,9979269,9155,174,318
gca,9613528,7131,621,1609
gcb,9634417,7956,64,120
gcc,9795445,10519,533,902
gcd,9885393,9044,46,96
gce,9817208,10233,293,551
gcf,9882057,8469,38,82
gcg,9684829,9117,41,115
gda,9879333,9827,107,264
gdb,9963396,9545,33,63
gdc,9927296,10079,149,333
gdd,9772142,9764,7,17
gde,9751047,7901,32,88
gdf,9991618,9152,97,318
gdg,9887405,9978,161,304
gea,9685026,10063,43,76
geb,9616316,8251,135,237
gec,9730722,8660,45,78
ged,9998874,9147,212,336
gee,9948933,9498,199,330
gef,9972688,7431,218,393
geg,9944359,10481,98,218
gfa,9920094,8121,77,111
gfb,9833866,8129,338,503
gfc,9988341,8031,115,201
gfd,9989368,10224,84,170
gfe,9755849,8053,177,295
gff,9880069,9167,56,76
gfg,9787952,8048,87,197
gga,9695763,8528,150,241
ggb,9952412,7332,6,13
ggc,9973451,8525,228,360
ggd,9562078,9555,88,138
gge,9875325,8572,7,22
ggf,9941475,9363,104,210
ggg,9862152,8362,309,439
